Дата;IFX-Cbonds
01.01.2002;100.00
02.01.2002;100.03
03.01.2002;100.07
04.01.2002;100.20
05.01.2002;100.23
06.01.2002;100.25
07.01.2002;100.28
08.01.2002;100.40
09.01.2002;100.47
10.01.2002;100.59
11.01.2002;100.62
12.01.2002;100.64
13.01.2002;100.67
14.01.2002;100.70
15.01.2002;100.86
16.01.2002;100.92
17.01.2002;101.04
18.01.2002;101.01
19.01.2002;101.03
20.01.2002;101.06
21.01.2002;101.09
22.01.2002;101.17
23.01.2002;101.18
24.01.2002;101.29
25.01.2002;101.35
26.01.2002;101.37
27.01.2002;101.40
28.01.2002;101.46
29.01.2002;101.52
30.01.2002;101.56
31.01.2002;101.63
01.02.2002;101.70
02.02.2002;101.74
03.02.2002;101.78
04.02.2002;101.88
05.02.2002;101.97
06.02.2002;102.08
07.02.2002;102.25
08.02.2002;102.32
09.02.2002;102.36
10.02.2002;102.40
11.02.2002;102.40
12.02.2002;102.44
13.02.2002;102.50
14.02.2002;102.59
15.02.2002;102.62
16.02.2002;102.66
17.02.2002;102.70
18.02.2002;102.76
19.02.2002;102.76
20.02.2002;102.78
21.02.2002;102.84
22.02.2002;102.92
23.02.2002;102.96
24.02.2002;103.00
25.02.2002;103.04
26.02.2002;103.11
27.02.2002;103.15
28.02.2002;103.21
01.03.2002;103.33
02.03.2002;103.36
03.03.2002;103.40
04.03.2002;103.41
05.03.2002;103.44
06.03.2002;103.58
07.03.2002;103.63
08.03.2002;103.66
09.03.2002;103.70
10.03.2002;103.74
11.03.2002;103.84
12.03.2002;103.94
13.03.2002;103.99
14.03.2002;104.02
15.03.2002;104.03
16.03.2002;104.07
17.03.2002;104.11
18.03.2002;104.12
19.03.2002;104.22
20.03.2002;104.26
21.03.2002;104.29
22.03.2002;104.31
23.03.2002;104.35
24.03.2002;104.39
25.03.2002;104.45
26.03.2002;104.55
27.03.2002;104.57
28.03.2002;104.64
29.03.2002;104.75
30.03.2002;104.78
31.03.2002;104.82
01.04.2002;104.61
02.04.2002;105.02
03.04.2002;105.06
04.04.2002;105.13
05.04.2002;105.22
06.04.2002;105.26
07.04.2002;105.30
08.04.2002;105.32
09.04.2002;105.34
10.04.2002;105.44
11.04.2002;105.52
12.04.2002;105.57
13.04.2002;105.61
14.04.2002;105.65
15.04.2002;105.69
16.04.2002;105.75
17.04.2002;105.80
18.04.2002;105.85
19.04.2002;105.87
20.04.2002;105.91
21.04.2002;105.95
22.04.2002;106.05
23.04.2002;106.12
24.04.2002;106.18
25.04.2002;106.23
26.04.2002;106.31
27.04.2002;106.36
28.04.2002;106.40
29.04.2002;106.48
30.04.2002;106.60
01.05.2002;106.65
02.05.2002;106.70
03.05.2002;106.75
04.05.2002;106.80
05.05.2002;106.85
06.05.2002;106.86
07.05.2002;106.90
08.05.2002;106.99
09.05.2002;107.04
10.05.2002;107.09
11.05.2002;107.14
12.05.2002;107.19
13.05.2002;107.21
14.05.2002;107.30
15.05.2002;107.42
16.05.2002;107.50
17.05.2002;107.51
18.05.2002;107.58
19.05.2002;107.63
20.05.2002;107.70
21.05.2002;107.78
22.05.2002;107.77
23.05.2002;107.90
24.05.2002;107.98
25.05.2002;108.03
26.05.2002;108.08
27.05.2002;108.12
28.05.2002;108.14
29.05.2002;108.20
30.05.2002;108.32
31.05.2002;108.43
01.06.2002;108.48
02.06.2002;108.53
03.06.2002;108.63
04.06.2002;108.77
05.06.2002;108.88
06.06.2002;109.07
07.06.2002;109.21
08.06.2002;109.27
09.06.2002;109.32
10.06.2002;109.45
11.06.2002;109.50
12.06.2002;109.55
13.06.2002;109.59
14.06.2002;109.72
15.06.2002;109.77
16.06.2002;109.83
17.06.2002;109.84
18.06.2002;109.90
19.06.2002;109.97
20.06.2002;109.92
21.06.2002;109.78
22.06.2002;109.83
23.06.2002;109.88
24.06.2002;109.97
25.06.2002;110.06
26.06.2002;109.99
27.06.2002;110.09
28.06.2002;110.23
29.06.2002;110.28
30.06.2002;110.33
01.07.2002;110.38
02.07.2002;110.43
03.07.2002;110.56
04.07.2002;110.64
05.07.2002;110.70
06.07.2002;110.74
07.07.2002;110.79
08.07.2002;110.90
09.07.2002;111.02
10.07.2002;111.09
11.07.2002;111.13
12.07.2002;111.24
13.07.2002;111.29
14.07.2002;111.34
15.07.2002;111.25
16.07.2002;111.29
17.07.2002;111.43
18.07.2002;111.41
19.07.2002;111.54
20.07.2002;111.59
21.07.2002;111.64
22.07.2002;111.60
23.07.2002;111.63
24.07.2002;111.61
25.07.2002;111.67
26.07.2002;111.71
27.07.2002;111.76
28.07.2002;111.81
29.07.2002;111.78
30.07.2002;111.84
31.07.2002;111.98
01.08.2002;112.06
02.08.2002;112.17
03.08.2002;112.22
04.08.2002;112.27
05.08.2002;112.30
06.08.2002;112.27
07.08.2002;112.35
08.08.2002;112.39
09.08.2002;112.45
10.08.2002;112.50
11.08.2002;112.55
12.08.2002;112.56
13.08.2002;112.56
14.08.2002;112.64
15.08.2002;112.70
16.08.2002;112.77
17.08.2002;112.82
18.08.2002;112.87
19.08.2002;112.87
20.08.2002;112.93
21.08.2002;112.97
22.08.2002;113.06
23.08.2002;113.21
24.08.2002;113.26
25.08.2002;113.30
26.08.2002;113.23
27.08.2002;113.29
28.08.2002;113.34
29.08.2002;113.31
30.08.2002;113.44
31.08.2002;113.49
01.09.2002;113.54
02.09.2002;113.40
03.09.2002;113.56
04.09.2002;113.63
05.09.2002;113.68
06.09.2002;113.80
07.09.2002;113.85
08.09.2002;113.90
09.09.2002;113.91
10.09.2002;113.99
11.09.2002;114.03
12.09.2002;114.10
13.09.2002;114.21
14.09.2002;114.27
15.09.2002;114.32
16.09.2002;114.33
17.09.2002;114.44
18.09.2002;114.43
19.09.2002;114.51
20.09.2002;114.59
21.09.2002;114.64
22.09.2002;114.69
23.09.2002;114.72
24.09.2002;114.76
25.09.2002;114.85
26.09.2002;114.91
27.09.2002;114.94
28.09.2002;114.99
29.09.2002;115.05
30.09.2002;115.11
01.10.2002;115.20
02.10.2002;115.28
03.10.2002;115.44
04.10.2002;115.48
05.10.2002;115.53
06.10.2002;115.59
07.10.2002;115.64
08.10.2002;115.74
09.10.2002;115.83
10.10.2002;115.92
11.10.2002;115.98
12.10.2002;116.03
13.10.2002;116.08
14.10.2002;116.07
15.10.2002;116.06
16.10.2002;116.11
17.10.2002;116.17
18.10.2002;116.18
19.10.2002;116.24
20.10.2002;116.29
21.10.2002;116.33
22.10.2002;116.40
23.10.2002;116.44
24.10.2002;116.57
25.10.2002;116.62
26.10.2002;116.67
27.10.2002;116.73
28.10.2002;116.69
29.10.2002;116.72
30.10.2002;116.80
31.10.2002;116.89
01.11.2002;116.93
02.11.2002;116.98
03.11.2002;117.03
04.11.2002;117.04
05.11.2002;117.08
06.11.2002;117.18
07.11.2002;117.23
08.11.2002;117.28
09.11.2002;117.33
10.11.2002;117.39
11.11.2002;117.41
12.11.2002;117.44
13.11.2002;117.49
14.11.2002;117.56
15.11.2002;117.63
16.11.2002;117.68
17.11.2002;117.73
18.11.2002;117.73
19.11.2002;117.85
20.11.2002;118.05
21.11.2002;118.30
22.11.2002;118.46
23.11.2002;118.51
24.11.2002;118.56
25.11.2002;118.56
26.11.2002;118.62
27.11.2002;118.69
28.11.2002;118.79
29.11.2002;118.91
30.11.2002;118.96
01.12.2002;119.01
02.12.2002;119.14
03.12.2002;119.16
04.12.2002;119.39
05.12.2002;119.67
06.12.2002;119.98
07.12.2002;120.03
08.12.2002;120.09
09.12.2002;120.12
10.12.2002;120.11
11.12.2002;120.26
12.12.2002;120.32
13.12.2002;120.37
14.12.2002;120.42
15.12.2002;120.46
16.12.2002;120.50
17.12.2002;120.36
18.12.2002;120.61
19.12.2002;120.73
20.12.2002;120.78
21.12.2002;120.83
22.12.2002;120.89
23.12.2002;120.86
24.12.2002;121.04
25.12.2002;120.90
26.12.2002;120.91
27.12.2002;121.06
28.12.2002;121.11
29.12.2002;121.17
30.12.2002;121.60
31.12.2002;121.60
01.01.2003;121.65
02.01.2003;121.70
03.01.2003;121.75
04.01.2003;121.68
05.01.2003;122.17
06.01.2003;122.22
07.01.2003;122.28
08.01.2003;122.50
09.01.2003;122.81
10.01.2003;122.93
11.01.2003;122.99
12.01.2003;123.04
13.01.2003;123.35
14.01.2003;123.55
15.01.2003;123.39
16.01.2003;123.17
17.01.2003;123.60
18.01.2003;123.65
19.01.2003;123.70
20.01.2003;123.56
21.01.2003;123.35
22.01.2003;123.65
23.01.2003;123.62
24.01.2003;123.73
25.01.2003;123.78
26.01.2003;123.83
27.01.2003;123.82
28.01.2003;123.73
29.01.2003;123.73
30.01.2003;124.02
31.01.2003;124.33
01.02.2003;124.38
02.02.2003;124.43
03.02.2003;124.59
04.02.2003;124.70
05.02.2003;124.97
06.02.2003;125.30
07.02.2003;125.96
08.02.2003;126.01
09.02.2003;126.06
10.02.2003;126.39
11.02.2003;127.05
12.02.2003;127.74
13.02.2003;128.42
14.02.2003;128.74
15.02.2003;128.79
16.02.2003;128.84
17.02.2003;129.09
18.02.2003;129.69
19.02.2003;130.11
20.02.2003;130.18
21.02.2003;130.49
22.02.2003;130.55
23.02.2003;130.60
24.02.2003;130.65
25.02.2003;130.78
26.02.2003;130.83
27.02.2003;130.93
28.02.2003;131.03
03.03.2003;131.19
04.03.2003;131.27
05.03.2003;131.41
06.03.2003;132.27
07.03.2003;132.76
11.03.2003;132.86
12.03.2003;133.22
13.03.2003;133.82
14.03.2003;134.14
17.03.2003;133.58
18.03.2003;132.88
19.03.2003;132.29
20.03.2003;131.99
21.03.2003;132.86
24.03.2003;133.05
25.03.2003;133.05
26.03.2003;133.62
27.03.2003;133.98
28.03.2003;134.14
