Дата;USD/RUB (FX);XAU/USD (FX)
12.02.2004;;412,25
13.02.2004;;408,38
14.02.2004;;409,90
15.02.2004;;409,90
16.02.2004;;411,40
17.02.2004;;414,46
18.02.2004;;412,64
19.02.2004;;410,06
20.02.2004;;402,79
21.02.2004;;397,30
22.02.2004;;397,30
23.02.2004;;398,80
24.02.2004;;403,60
25.02.2004;;396,04
26.02.2004;;392,64
27.02.2004;;394,93
28.02.2004;;395,90
29.02.2004;;395,90
01.03.2004;;398,75
02.03.2004;;392,51
03.03.2004;;390,79
04.03.2004;;393,95
05.03.2004;;399,22
06.03.2004;;401,00
07.03.2004;;401,00
08.03.2004;;399,98
09.03.2004;;405,06
10.03.2004;;399,11
11.03.2004;;397,83
12.03.2004;;396,31
13.03.2004;;395,00
14.03.2004;;395,00
15.03.2004;;398,41
16.03.2004;;401,74
17.03.2004;;401,63
18.03.2004;;412,13
19.03.2004;;409,78
20.03.2004;;412,10
21.03.2004;;411,96
22.03.2004;;417,65
23.03.2004;;417,10
24.03.2004;;417,60
25.03.2004;;417,12
26.03.2004;;420,23
27.03.2004;;422,00
28.03.2004;;422,00
29.03.2004;;419,53
30.03.2004;;421,30
31.03.2004;;425,42
01.04.2004;;427,39
02.04.2004;;419,09
03.04.2004;;420,60
04.04.2004;;420,60
05.04.2004;;416,60
06.04.2004;;418,57
07.04.2004;;422,19
08.04.2004;;419,51
09.04.2004;;419,80
10.04.2004;;419,80
11.04.2004;;419,80
12.04.2004;;418,50
13.04.2004;;406,73
14.04.2004;;402,28
15.04.2004;;397,55
16.04.2004;;400,71
17.04.2004;;400,50
18.04.2004;;400,50
19.04.2004;;401,40
20.04.2004;;397,07
21.04.2004;;393,52
22.04.2004;;391,73
23.04.2004;;393,32
24.04.2004;;395,40
25.04.2004;;395,40
26.04.2004;;396,20
27.04.2004;;398,56
28.04.2004;;384,93
29.04.2004;;386,79
30.04.2004;;388,88
01.05.2004;;386,60
02.05.2004;;386,60
03.05.2004;;388,20
04.05.2004;;391,84
05.05.2004;;390,98
06.05.2004;;388,26
07.05.2004;;378,06
08.05.2004;;378,90
09.05.2004;;378,90
10.05.2004;;375,81
11.05.2004;;377,62
12.05.2004;;380,28
13.05.2004;;373,30
14.05.2004;;375,96
15.05.2004;;376,40
16.05.2004;;376,40
17.05.2004;;378,56
18.05.2004;;377,11
19.05.2004;;381,86
20.05.2004;;379,40
21.05.2004;;384,51
22.05.2004;;384,20
23.05.2004;;384,20
24.05.2004;;384,39
25.05.2004;;387,92
26.05.2004;;388,18
27.05.2004;;394,22
28.05.2004;;393,74
29.05.2004;;393,40
30.05.2004;;393,36
31.05.2004;;395,17
01.06.2004;;394,51
02.06.2004;;390,94
03.06.2004;;387,93
04.06.2004;;389,88
05.06.2004;;390,30
06.06.2004;;390,30
07.06.2004;;392,98
08.06.2004;;391,43
09.06.2004;;385,32
10.06.2004;;387,16
11.06.2004;;384,33
12.06.2004;;384,30
13.06.2004;;384,30
14.06.2004;;383,22
15.06.2004;;387,45
16.06.2004;;384,28
17.06.2004;;386,71
18.06.2004;;394,86
19.06.2004;;394,50
20.06.2004;;394,50
21.06.2004;;394,85
22.06.2004;;395,15
23.06.2004;;394,17
24.06.2004;;401,19
25.06.2004;;401,66
26.06.2004;;400,10
27.06.2004;;400,10
28.06.2004;;401,44
29.06.2004;;392,18
30.06.2004;;394,88
01.07.2004;;394,33
02.07.2004;;398,12
03.07.2004;;397,70
04.07.2004;;397,70
05.07.2004;;397,50
06.07.2004;;392,65
07.07.2004;;402,71
08.07.2004;;406,40
09.07.2004;;407,08
10.07.2004;;407,60
11.07.2004;;407,60
12.07.2004;;406,58
13.07.2004;;400,61
14.07.2004;;403,83
15.07.2004;;404,43
16.07.2004;;406,56
17.07.2004;;406,30
18.07.2004;;406,30
19.07.2004;;405,16
20.07.2004;;400,24
21.07.2004;;395,38
22.07.2004;;397,29
23.07.2004;;388,84
24.07.2004;;389,90
25.07.2004;;389,90
26.07.2004;;390,49
27.07.2004;;387,01
28.07.2004;;387,84
29.07.2004;;389,57
30.07.2004;;391,00
31.07.2004;;390,40
01.08.2004;;390,40
02.08.2004;;391,20
03.08.2004;;391,29
04.08.2004;;392,62
05.08.2004;;391,86
06.08.2004;;399,75
07.08.2004;;399,60
08.08.2004;;399,60
09.08.2004;;399,80
10.08.2004;;400,21
11.08.2004;;394,87
12.08.2004;;394,24
13.08.2004;;398,42
14.08.2004;;398,70
15.08.2004;;398,95
16.08.2004;;402,18
17.08.2004;;402,40
18.08.2004;;402,70
19.08.2004;;407,23
20.08.2004;;413,42
21.08.2004;;413,10
22.08.2004;;413,10
23.08.2004;;409,43
24.08.2004;;404,41
25.08.2004;;407,06
26.08.2004;;405,98
27.08.2004;;403,42
28.08.2004;;403,20
29.08.2004;;404,10
30.08.2004;;406,76
31.08.2004;;409,76
01.09.2004;;407,56
02.09.2004;;406,23
03.09.2004;;400,92
04.09.2004;;398,60
05.09.2004;;400,40
06.09.2004;;402,30
